0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-25.80319165808396,-42.104478884146374,-147.61652691276478,-59.47997269824343,-89.59131092924015,-73.19147564100169,-134.2785238154817,-107.86463474267966,-626.4743423082334,-358.6204114660802,-522.7134387164285,-328.5229496579648,-362.9717584536886,-638.5242626115581,-397.6935601888113,-87.13402733500303,-72.57912210640258,-88.57965216229286,-72.99174332863159,-89.5326207658477,-84.6095979242788,-56.83017582745921,-337.4058729137288,-449.14757272189297,-418.5965287654114,-427.56260187341957,-409.58689800779393,-223.23764985363889,-241.80996289875694,-46.81274807328195,-102.12769825263162,-112.24279572121385,-67.60107662157715,-73.41098805169767,-102.52799910471941,-74.78358585624358
-23.79145381050421,-42.02798301699476,-148.6619067066441,-59.36426861996411,-89.76843952449852,-72.76065221605735,-134.2212818960653,-107.45141443144243,-627.5075704938502,-357.71442916721105,-522.0820829812792,-327.7041192650272,-362.2913108041387,-638.066319189934,-396.60599493912986,-87.45000960173324,-72.18218248226763,-87.58875292693249,-73.92072732929128,-90.23108624961972,-83.79741005130387,-56.35264855583808,-337.4459370993541,-449.7092593077415,-419.1624470041711,-428.6125426224692,-409.66600289411974,-223.63468192092233,-242.92987627236292,-45.53430524595392,-102.95770081896383,-112.15864581857578,-68.16665836446123,-72.6015899414216,-101.78817531446796,-74.78164180607284
-21.779715962924456,-42.57492021746762,-149.79993362117938,-58.36249571653478,-88.85483226629468,-71.84797574462017,-132.795157822588,-107.59708489212898,-629.383514368094,-355.918978593522,-522.5541261824147,-328.7407758744796,-363.3671773337147,-638.7837813285297,-397.9284470936823,-88.42380140216696,-70.33576295828398,-87.93238588227395,-74.77621769575607,-90.09023288756939,-83.13966918390774,-54.90356087345037,-338.5020094359811,-447.4379927192492,-419.64553488928254,-427.6598499653596,-408.94222901922683,-224.2060801998562,-243.32849870509034,-45.24786507401681,-101.6762160729948,-112.52626768811201,-68.39347929845252,-73.05961638047359,-101.36319188864839,-75.045439089506
-19.767978115344704,-42.66612469503684,-149.695084425786,-58.348351621873576,-87.55000889704328,-72.52234227663155,-132.4395284916621,-107.40233257965279,-628.9980820833157,-356.01408514873276,-522.0337378040924,-327.9389555093197,-362.79115438531494,-637.4645032695464,-399.85593626821776,-87.71688829198624,-69.15395661231588,-89.06339161691704,-73.57300830100463,-88.11468638964406,-83.26759997283177,-54.88333430923224,-338.7135765631302,-446.22179028880083,-419.18598743573943,-427.44020710206286,-409.12339216139964,-224.43223399109903,-242.71831322486955,-46.1535969222544,-101.3282387245862,-112.96495600614118,-67.48178446646737,-72.96494894678047,-101.66351577731685,-75.5848419637553
-17.75624026776495,-43.16110714787402,-149.02498018763166,-58.31396751154954,-87.14940341381838,-72.79870108445373,-132.31130446569554,-107.01823318097318,-628.8430629586377,-358.3301688036967,-521.408841027769,-327.31715502189127,-361.61075974709576,-637.5464199798004,-399.30615537889247,-86.35297270591776,-70.6254451857546,-89.7179491052886,-72.43567839548946,-86.90627272145431,-83.83681949741751,-55.66632332943384,-338.0002834355446,-446.9299191338902,-419.51636687083743,-427.7562237204164,-408.890160325238,-223.95901457214666,-241.09251770820558,-46.97622015908064,-101.35000101953266,-113.2338364085553,-67.3610796101114,-73.17380653446776,-102.27129501039124,-75.61433868280686
-15.7445024201852,-43.709031442691966,-148.50221989764987,-57.7300528241307,-87.79743406272968,-72.033051038282,-132.22019611973982,-107.07573421787774,-629.5419080249961,-360.109348915654,-521.4867978608405,-328.1061204550093,-361.3217530674085,-639.6096699020811,-396.7261912322555,-86.14405291764245,-72.97159223447314,-89.2771860150126,-72.72395295030792,-87.72165346817891,-84.17141701646354,-55.904150015729996,-336.96406845321525,-448.3385332809263,-420.0138729708892,-427.6740628328569,-407.8194419079824,-223.41868114041546,-239.8799528996734,-46.98981486015516,-100.97281330999024,-113.1327189380597,-68.43112361570286,-73.76366648052965,-102.21142300716933,-75.0568345409281
-13.732764572604992,-42.25824496435161,-148.13734249043407,-57.65009790846665,-88.1197114354262,-72.45651823511997,-133.60355202572123,-108.09583400805724,-627.8813683440868,-357.24776023171813,-521.6762139995195,-328.40848452054615,-361.91228119760353,-638.867584453513,-396.54589875899194,-87.90578409106341,-71.10438594852735,-88.25022367976871,-73.23583702156652,-88.76401435598173,-83.71812880928042,-54.956782225897236,-336.42081748766765,-448.31945239648593,-417.3065426884518,-426.89610718872643,-407.4665536349679,-224.10646139303267,-241.3516781621405,-46.778554966543524,-100.73397637656268,-112.5796277258605,-68.44639426424199,-73.09337467533773,-100.83595893003778,-74.94620245424699
-11.72102672502524,-40.95553738517707,-148.4636312110613,-57.52735303859438,-87.94877711568684,-72.88109444941331,-134.17216405678946,-108.91130292954863,-626.3046536052182,-355.3515664355481,-521.3713513865617,-328.4435578900681,-362.3917057523874,-637.5245672438142,-396.80131957458764,-88.9042378583218,-68.936553694988,-87.36092680827976,-73.65419017196555,-89.31968576000443,-82.88173943245783,-54.38071842726293,-337.7189936111583,-447.65871137418014,-416.29904918557685,-426.9581133217047,-406.616139599748,-224.0195683189815,-242.27479191425653,-46.98831115850278,-101.16119119428946,-112.25054688397931,-68.03620418755165,-72.27024495713555,-101.69323602413988,-75.47568633002453
-9.709288877445488,-41.75152772008946,-148.9910306836366,-57.04923169261232,-87.79940524092812,-72.65585228594715,-132.9677410050756,-109.02021149426537,-626.7973942866121,-357.3038519165458,-520.6286792657088,-328.5546967174647,-361.95244286573535,-637.7466347712755,-395.8602316430972,-87.9497007607172,-69.47910200895168,-87.0689473039801,-73.88609094686755,-89.27300394978752,-82.3690557518933,-54.96563154987247,-339.882296393715,-447.7062778497426,-418.68840275027253,-428.4060832641845,-405.61153538945956,-222.02793286372122,-241.56513503698486,-47.1508210746061,-101.7796493679522,-112.75886892576878,-68.01258613166863,-72.20725057321563,-104.65598540553316,-75.85177540177881
-7.6975510298657355,-43.53261875469202,-147.89461820041336,-57.165530246337454,-88.2750384995555,-73.53607837862437,-132.854455877075,-109.52410703883292,-627.3952709753331,-357.269685593859,-520.3430356223952,-328.12614433780084,-360.8735347307568,-637.7956243532662,-396.02151642272787,-87.64410152296135,-69.57611736804067,-87.27226144304818,-73.573187116375,-88.8139857507001,-82.58328957762372,-55.23103602646437,-338.9739707120998,-448.63397265748733,-417.8057824986622,-429.3877366369248,-407.8808995904067,-220.2554207233104,-243.43415138868443,-45.67133735508421,-101.02069219131391,-113.9911183379761,-67.80741743567502,-71.96159407009442,-103.06855182284073,-74.75091584100201
-5.685813182285983,-43.07275933647096,-147.2860424691706,-58.3031391632157,-88.52575024128473,-73.85507646977285,-133.8111807117239,-108.8719222804993,-627.0739482864702,-356.83995918873376,-520.5050408319179,-327.8417323518399,-361.59537903634936,-638.4856139422724,-396.83220930861927,-86.63250665199091,-69.51597787790638,-87.30203473116684,-72.34717758950144,-89.05272419129028,-82.34802354848269,-54.61777515457466,-337.3690500612347,-448.21716136001675,-416.73827724878834,-429.0216841820597,-410.0321614038952,-220.8822871012557,-243.80605396315454,-44.928929790020156,-100.02911189983112,-114.38905046132224,-67.47365076065054,-71.15842314587108,-100.7489897341809,-74.07049272470391
-3.674075334706231,-39.971050173300384,-148.01017752609025,-59.3653948376909,-87.8164070681334,-72.23814091281965,-134.09566474506596,-106.34432411027666,-625.9515761150809,-357.8150144608394,-520.6589685545948,-327.66099135477185,-363.65959695109797,-639.6849259402167,-397.22243805751657,-84.17473715359804,-69.75773253399639,-86.78805478989815,-70.50462521005197,-89.53121997680341,-80.96600024109878,-53.43168032346816,-337.6910473511361,-446.07050951526634,-418.20926126604195,-427.1516167966556,-408.58578677929086,-223.2973512523876,-240.07165004986493,-45.925594972367065,-99.95281956727534,-112.980072887154,-67.08055191177262,-70.22505467604857,-101.44202466016498,-74.7527305309147
-1.6623374871264787,-39.459704457208396,-146.21329615246577,-57.64175831368468,-86.78265325951675,-70.54221983805868,-131.9155518942639,-104.62534238122966,-624.9947856147874,-356.5717901359532,-520.3197527997567,-325.5857146419174,-360.99038770965166,-637.9532840962368,-397.17012918017116,-83.43296739527338,-68.38235234067096,-86.22359146036655,-69.33244236107778,-86.95439349016799,-79.69585887424432,-52.41128604756568,-337.8506285920394,-446.08527494747227,-416.9682910826068,-424.1285118019895,-405.50811509681677,-222.73562974176963,-238.38118894531698,-44.71631714908478,-99.8188363557397,-110.91044666639321,-66.19695856290595,-70.16355105750877,-100.63269971629576,-73.88551686287099
0.34940036045372835,-39.59371370348686,-144.28590111313335,-55.5551836988838,-86.24271568503494,-69.50290591959558,-129.67914635636347,-104.15915161091819,-623.6310225462706,-354.72004241123915,-518.9948682783936,-323.1572378983039,-357.41592401485997,-635.2875602042917,-394.29260710672185,-82.89537925830912,-67.16984462795315,-85.46955627173155,-68.56970402866602,-83.6043574856179,-78.82486922688408,-50.33514947366455,-335.7077121103625,-445.37319671770433,-415.322536558207,-421.5176274922323,-403.17392253194913,-219.85814884668162,-238.8999893223953,-43.27974224853105,-99.29577759529995,-109.28035307505958,-64.82301139372794,-69.56995840682158,-98.27186084030068,-72.0223787045233
2.3611382080334806,-37.98835892062728,-145.3396532635586,-55.96759626984974,-86.51135749816387,-69.25438157659123,-129.87748280351673,-104.25953203946645,-622.1305748835757,-355.126228708862,-517.4514761220203,-322.8679706140241,-358.07470776128844,-634.8689692998549,-389.0509667677259,-81.41898089391057,-67.90281208651587,-84.58813205532387,-67.90565660366718,-82.96643997622701,-78.70937347716674,-47.852916233985816,-331.9757979995499,-441.94726060357107,-416.5067073273942,-421.019683962196,-402.97962382734767,-218.0422904031567,-239.50134978227462,-44.36962184613575,-98.9793300281504,-108.92755830971984,-63.848323286706616,-67.84510078714715,-97.11749759453164,-71.16471442929928
4.372876055613233,-39.06608860621234,-146.89561068020896,-57.089086759706674,-86.87632918548618,-70.11829336969512,-130.76531119670753,-104.67268202666325,-623.6537848526916,-356.95210688291996,-518.5995878941884,-324.8726314334461,-359.75375705818726,-636.0793902209986,-389.41305083158875,-83.34611699609718,-68.35964308622027,-84.70132558352593,-68.4723703552362,-84.62394508907909,-80.71116222060172,-50.62587495752057,-332.1356704263932,-442.5492282640455,-417.0489647807444,-423.09781234396235,-404.40601605370205,-219.55201870623765,-240.53119940495236,-45.59828245399183,-100.13952020953552,-110.25781560425354,-65.1037576315622,-68.26215198537126,-99.52264802816097,-71.99808434979313
6.384613903192985,-41.72048095773224,-147.26669951299672,-57.912238132930305,-87.17780274385638,-71.16052953176252,-131.2343591093779,-105.21480786743018,-625.4000586814009,-357.95681825141094,-520.6010354140751,-326.0042767258321,-360.17921760402544,-637.2837819270738,-393.204244566406,-86.06013779983329,-68.22157258446894,-85.66435280087303,-69.2469732984786,-86.67529459085011,-82.20838226475153,-54.21972402502429,-334.95813215403246,-445.59209461365464,-416.5097438847377,-425.2928264365119,-406.24165273564876,-221.58440461767762,-240.9973778544759,-45.626602247771785,-100.73015303685337,-111.8760933158666,-66.50167347856313,-69.88871021572271,-102.31595454441775,-73.2158432431329
8.396351750772737,-42.610931337673996,-146.5662673919525,-58.33077078224181,-87.55225718109108,-71.5173091162614,-131.50957902520062,-105.61954179802957,-624.4728451550192,-357.06287374930207,-520.7251482064574,-324.5887894600761,-359.5348641556891,-637.2743062790304,-394.7837876491106,-85.73866032192694,-68.40835469217684,-86.59829967501486,-69.30988842907722,-87.54758871810098,-80.96316887573744,-52.93736780319338,-336.61185013704466,-446.52056409791794,-416.25929064772436,-425.5475004167242,-407.2304924965706,-221.04090745189663,-240.25430623536897,-44.934493390889294,-99.23699410513609,-112.4349342848277,-65.99476554888845,-70.64911331598984,-101.76278516831673,-73.55485332411988
